,Chemical Name,PC1,PC2,Spin Splitting Energy (kcal/mol)
178,Fe(III)(acac)3,4.601984118231788,2.7360979488452086,-0.6251929860000001
179,Fe(II)(acac)3,4.608999922352009,2.6493543187791277,-15.37815381
180,Mn(III)(ammonia)2eq(ammonia)ax1(ammonia)ax2,-1.4649190360384163,-2.55868387617442,-35.43155942
181,Mn(II)(ammonia)2eq(ammonia)ax1(ammonia)ax2,-1.457903231918195,-2.6454275062405013,-27.12257354
182,Co(II)(acac)3,4.580030771707057,3.1842448261241376,-13.28039814
183,Co(III)(acac)3,4.573014967586837,3.270988456190216,23.5020631
184,Co(II)(ammonia)2eq(ammonia)ax1(ammonia)ax2,-1.9900441865937837,1.6962991062264865,-12.03366698
185,Co(III)(ammonia)2eq(ammonia)ax1(ammonia)ax2,-1.9970599907140054,1.783042736292568,24.23997763
186,Fe(III)(cl)2eq(cl)ax1(cl)ax2,-1.2455461177679539,3.2968294608734756,-8.029074602
187,Fe(II)(cl)2eq(cl)ax1(cl)ax2,-1.2385303136477324,3.2100858308073947,-26.63962391
188,Co(III)(misc)4eq(ammonia)ax1(ammonia)ax2,-3.49286611193423,1.5768647118151202,56.76037308
189,Co(II)(misc)4eq(ammonia)ax1(ammonia)ax2,-3.4858503078140095,1.4901210817490407,7.612716966
190,Co(II)(misc)2eq(misc)ax1(misc)ax2,0.583297329457094,2.357953717292198,-5.807072248
191,Co(III)(misc)2eq(misc)ax1(misc)ax2,0.5762815253368724,2.4446973473582774,27.68634477
192,Mn(II)(en)1(phosacidbipyridine)2,7.624005500592371,-1.267025842863303,-26.88336064
193,Mn(III)(en)1(phosacidbipyridine)2,7.616989696472148,-1.1802822127972223,-37.58755204
194,Mn(III)(pisc)4eq(pyridine)ax1(pyridine)ax2,2.8506253046496535,-2.0634188734913663,-16.22003561
195,Mn(II)(phenisc)4eq(methylamine)ax1(methylamine)ax2,-2.330074762830246,-3.391010041544208,-2.2921146180000003
196,Mn(III)(phenisc)4eq(methylamine)ax1(methylamine)ax2,-2.3370905669504682,-3.3042664114781255,-16.93339883
197,Co(III)(chloropyridine)4eq(misc)ax1(misc)ax2,1.2690405057782566,1.4347929768394336,21.62510099
198,Mn(II)(misc)4eq(ammonia)ax1(ammonia)ax2,-2.978830767401722,-2.802684189308065,-6.619778564
199,Mn(III)(misc)4eq(ammonia)ax1(ammonia)ax2,-2.9858465715219435,-2.715940559241985,-31.03582092
200,Mn(II)(isothiocyanate)2eq(isothiocyanate)ax1(isothiocyanate)ax2,1.5719344161640199,-2.829359650925349,-19.02445401
201,Fe(II)(tbisc)2eq(tbisc)ax1(tbisc)ax2,1.135744814490246,2.275855149329349,-1.18232466
202,Fe(III)(tbisc)2eq(tbisc)ax1(tbisc)ax2,1.1287290103700247,2.3625987793954297,8.32050909
203,Mn(III)(phenisc)4eq(carbonyl)ax1(carbonyl)ax2,-2.2465219402000143,-2.223698248138363,10.1507326
204,Mn(II)(phenisc)4eq(carbonyl)ax1(carbonyl)ax2,-2.239506136079793,-2.3104418782044434,21.00354731
205,Mn(III)(en)1(aceticacidbipyridine)2,6.9134060274191125,-1.4624783542174153,-37.6529091
206,Co(II)(methylamine)4eq(furan)ax1(furan)ax2,1.3996806243937718,1.247386676967787,-1.67543725
207,Cr(II)(methylamine)4eq(benzisc)ax1(benzisc)ax2,1.5034579810134858,-0.6153068649130216,-33.60912029
