,filename,uptake_low_p (cm3 methane/g framework),uptake_low_p (cm3 methane/cm3 framework),uptake_high_p (cm3 methane/g framework),uptake_high_p (cm3 methane/cm3 framework)
588,MOF_net-eea_node1-N58_node2-orgN26_edge1-E0.cif,96.5863639908,13.1780445447,814.943141646,111.1891635448
589,MOF_net-rtl_node1-N46_node2-orgN26_edge1-none.cif,88.1035084845,59.8825544276,300.5265835263,204.2631423484
590,MOF_net-ana-f_node1-N83_node2-orgN9_edge1-E2.cif,104.6337696967,7.7658081375,1089.5679383582,80.8665843407
591,MOF_net-rtl_node1-N28_node2-orgN8_edge1-E13.cif,98.2868518946,10.8621701454,952.8981008331,105.3095210898
592,MOF_net-eea_node1-N47_node2-orgN26_edge1-E0.cif,90.7425803789,13.8667018231,741.0992033174,113.2500489942
593,MOF_net-bpr_node1-N66_node2-orgN23_edge1-E3.cif,61.9259322714,12.6804923762,599.7932976209,122.8188911944
594,MOF_net-anh_node1-N30_node2-orgN8_edge1-E0.cif,75.5616280053,21.3692965775,541.1913087986,153.0522553337
595,MOF_net-bwt_node1-N83_node2-orgN14_edge1-E5.cif,87.8573899954,11.3635876877,795.2209804476,102.8549031894
596,MOF_net-anh_node1-N17_node2-orgN26_edge1-E8.cif,86.6097173978,12.4468581694,806.1447627379,115.8526990655
597,MOF_net-ptr_node1-N18_node2-orgN20_edge1-E2.cif,84.7280721763,12.5068522043,737.0545854393,108.7978580155
598,MOF_net-nom_node1-N42_node2-orgN20_edge1-E1.cif,120.8207107469,9.166834308,1160.5874110113,88.0553708955
599,MOF_net-ptr_node1-N73_node2-orgN15_edge1-E14.cif,81.6790627638,10.1572066555,821.0521291078,102.1020059249
600,MOF_net-anh_node1-N20_node2-orgN8_edge1-E1.cif,80.008283007,17.5873418617,612.8092192619,134.7071181898
601,MOF_net-ptr_node1-N55_node2-orgN19_edge1-E2.cif,90.8562305921,11.1673942725,840.6281295779,103.3239624667
602,MOF_net-pth_node1-N78_node2-orgN19_edge1-E4.cif,100.3311588558,11.8885833364,923.8484938168,109.4699785613
603,MOF_net-ptr_node1-N42_node2-orgN1_edge1-E13.cif,111.814787722,8.9138960687,1116.6923615618,89.0229267028
604,MOF_net-tbo_node1-N83_node2-orgN10_edge1-E7.cif,111.6471627928,8.9286681569,1098.3198599903,87.8350449281
605,MOF_net-ptr_node1-N79_node2-orgN20_edge1-E5.cif,118.9249097345,9.3738773906,1141.6406334054,89.9861883058
606,MOF_net-ptr_node1-N10_node2-orgN18_edge1-E4.cif,112.5915486889,11.0346493117,1035.9658397859,101.5308864124
607,MOF_net-ptr_node1-N10_node2-orgN1_edge1-E2.cif,72.0556303033,16.299100874,560.9695688386,126.8922296739
608,MOF_net-ptr_node1-N73_node2-orgN1_edge1-E13.cif,117.5707626917,8.409692874,1200.5310448368,85.8725174664
609,MOF_net-tbo_node1-N24_node2-orgN26_edge1-E5.cif,107.666766469,10.7950597249,1021.2803313945,102.3972627291
610,MOF_net-apo_node1-N48_node2-orgN23_edge1-none.cif,64.2729006711,73.5650452354,112.9272577125,129.2535226384
611,MOF_net-apo_node1-N44_node2-orgN9_edge1-none.cif,0.0,0.0,0.0,0.0
612,MOF_net-pts_node1-N79_node2-orgN18_edge1-E4.cif,107.229500525,10.4774800688,1019.5829053198,99.6242593377
613,MOF_net-csq_node1-N77_node2-orgN15_edge1-E15.cif,99.319252595,15.1533185829,810.7733805144,123.7011658107
614,MOF_net-dag_node1-N61_node2-orgN26_edge1-E3.cif,86.2027076321,20.6367053999,636.2476718706,152.3160481429
615,MOF_net-eea_node1-N33_node2-orgN8_edge1-E15.cif,94.5365199496,10.8592686446,889.60492474,102.1875870879
616,MOF_net-zzz_node1-N15_node2-orgN14_edge1-E0.cif,88.3099017387,22.5205979256,600.5834259069,153.1594712411
617,MOF_net-dag_node1-N61_node2-orgN26_edge1-E0.cif,95.1849750381,15.3771222328,767.5317843598,123.99467522
