,filename,uptake_low_p (cm3 methane/g framework),uptake_low_p (cm3 methane/cm3 framework),uptake_high_p (cm3 methane/g framework),uptake_high_p (cm3 methane/cm3 framework)
2249,MOF_net-ict_node1-N73_edge1-E8.cif,51.7544654371,13.1034802327,525.0177297125,132.9268766471
2250,MOF_net-uow_node1-N42_edge1-E8.cif,62.6346777334,15.756059572,538.8700756806,135.555403512
2251,MOF_net-umq_node1-N73_edge1-E13.cif,87.1744358361,8.5039261336,927.3594385801,90.4645506372
2252,MOF_net-ull_node1-N18_edge1-E13.cif,82.0598812602,10.1247278792,824.1360193627,101.6837071099
2253,MOF_net-wmy_node1-N61_edge1-E3.cif,59.8080763117,37.1779912318,291.0926358566,180.9494658733
2254,MOF_net-rob_node1-N15_edge1-E1.cif,82.6072423655,40.0154427076,406.9579727255,197.1328781313
2255,MOF_net-uke_node1-N29_edge1-E13.cif,84.4778124366,12.0938399797,804.9639490353,115.2386041763
2256,MOF_net-upb_node1-N42_edge1-E15.cif,70.4850370221,13.2056592588,643.9100652674,120.639177824
2257,MOF_net-uot_node1-N79_edge1-E13.cif,108.7119295423,8.4110539052,1129.6145758217,87.3984035545
2258,MOF_net-gsi_node1-N79_edge1-E15.cif,108.4111430244,8.5861173791,1108.5233872754,87.7945906209
2259,MOF_net-deh_node1-N66_edge1-E7.cif,82.3168173101,7.9487391635,872.0747442953,84.2099451845
2260,MOF_net-whw_node1-N17_edge1-E13.cif,72.1952897935,17.6669766914,548.9998232157,134.3462587111
2261,MOF_net-wir_node1-N46_edge1-E14.cif,63.2236348913,30.7282647378,357.0444584895,173.5325193257
2262,MOF_net-ulj_node1-N41_edge1-E14.cif,88.1231951695,11.2348030072,814.3616206332,103.822749128
2263,MOF_net-yfq_node1-N0_edge1-E5.cif,72.8500297938,19.8747322674,536.1238719556,146.2637482433
2264,MOF_net-neb_node1-N79_edge1-E5.cif,78.3575074716,11.3181558278,747.2360529722,107.9326584089
2265,MOF_net-uka_node1-N4_edge1-E14.cif,63.3562205653,16.6672891765,499.4382566143,131.3885483468
2266,MOF_net-bcg_node1-N34_edge1-E1.cif,82.9479818424,41.9505640865,396.5387543799,200.547669261
2267,MOF_net-whp_node1-N61_edge1-E8.cif,64.0095771713,19.8023058824,501.676802714,155.2011111532
2268,MOF_net-lcy_node1-N61_edge1-E0.cif,69.4442625416,26.4917014903,448.4089438352,171.0597168278
2269,MOF_net-ulj_node1-N24_edge1-E13.cif,110.7222856026,8.9852485456,1120.6437849626,90.9416102115
2270,MOF_net-uma_node1-N41_edge1-E2.cif,76.1378707151,17.9290177873,531.7067576487,125.2068100404
2271,MOF_net-ukn_node1-N78_edge1-E14.cif,67.8385167859,10.0962459529,685.5198938916,102.0243039238
2272,MOF_net-rkf_node1-N16_edge1-E15.cif,67.0781200452,18.1393064911,536.9442863295,145.2008042536
2273,MOF_net-vbh_node1-N85_edge1-E0.cif,83.6761919548,21.135642597,586.2147995397,148.0711083844
