index,name,KR,KV,KVRH,GR,GV,GVRH,Unnamed: 0,filename,uptake_low_p (cm3 methane/g framework),uptake_low_p (cm3 methane/cm3 framework),uptake_high_p (cm3 methane/g framework),uptake_high_p (cm3 methane/cm3 framework),wc cm3/g
1389,optimized_MOF_net-ung_node1-N42_edge1-E15,0.4368727889889255,1.5165737498586571,0.9767232694237912,0.045190309086977284,0.5758736424113226,0.3105319757491499,4269,MOF_net-ung_node1-N42_edge1-E15.cif,82.1912182141,11.028120865899998,777.1488718508,104.27502932510001,694.9576536367
1390,optimized_MOF_net-wlh_node1-N0_edge1-E8,1.929394448222356,2.3889295354183733,2.1591619918203646,0.18004834746729484,0.40810535870388936,0.2940768530855921,696,MOF_net-wlh_node1-N0_edge1-E8.cif,73.4772403443,15.1691388286,626.2684194084,129.291091411,552.7911790641
1391,optimized_MOF_net-wlh_node1-N0_edge1-E14,2.0310701747322892,2.1810931252185912,2.10608164997544,0.1679937032162668,0.41153031900146986,0.28976201110886834,311,MOF_net-wlh_node1-N0_edge1-E14.cif,66.8214179113,14.3557893649,588.2833536525,126.38570350479999,521.4619357411999
1392,optimized_MOF_net-mer_node1-N73_edge1-E13,0.2624346231367806,0.3410327949079233,0.30173370902235197,0.10832873939170116,0.14193700035469609,0.1251328698731986,3680,MOF_net-mer_node1-N73_edge1-E13.cif,95.75634292870001,8.2468274317,1008.1049230432001,86.8210614469,912.3485801145
1393,optimized_MOF_net-mer_node1-N73_edge1-E15,0.34171564872007354,0.5102848617256194,0.4260002552228465,0.11635598097768647,0.15872113340684216,0.13753855719226432,1049,MOF_net-mer_node1-N73_edge1-E15.cif,93.7630835644,8.504776124700001,973.8239155363001,88.33065287209999,880.0608319719001
1394,optimized_MOF_net-rkf_node1-N14_edge1-E1,1.6076100331138403,1.8114319500853853,1.7095209915996126,1.1199431019547974,1.354095778726368,1.2370194403405828,649,MOF_net-rkf_node1-N14_edge1-E1.cif,70.7221149392,25.812669351799997,434.0115841048,158.4086890642,363.28946916560005
1395,optimized_MOF_net-wlk_node1-N0_edge1-E1,1.7844123780126868,2.0830341948907023,1.9337232864516944,0.06958037690392413,0.40027131271724775,0.23492584481058595,23,MOF_net-wlk_node1-N0_edge1-E1.cif,83.1846215504,14.857210430599999,698.2806592295,124.7165942509,615.0960376790999
1396,optimized_MOF_net-wll_node1-N0_edge1-E1,0.6585467653438905,1.3158685773714938,0.987207671357692,0.12715100939975585,0.5535750587345921,0.34036303406717405,2552,MOF_net-wll_node1-N0_edge1-E1.cif,77.0272482263,17.3518800301,632.3195116077,142.4422208866,555.2922633814
1397,optimized_MOF_net-wlm_node1-N0_edge1-E5,3.9813345248977496,4.264488832273807,4.122911678585779,0.3356815499525042,1.3463496508286674,0.8410156003905858,352,MOF_net-wlm_node1-N0_edge1-E5.cif,73.71383198720001,16.6992785651,594.6145098883001,134.70515738790002,520.9006779011
1398,optimized_MOF_net-wge_node1-N86_edge1-E14,1.5281536399346225,2.200372506544263,1.8642630732394427,0.3394246210537243,0.461470823565127,0.4004477223094256,2365,MOF_net-wge_node1-N86_edge1-E14.cif,78.44887054670001,15.537973963399999,642.7772944822,127.3116718744,564.3284239354999
1399,optimized_MOF_net-ukr_node1-N10_edge1-E8,0.21526257408558586,0.2184667530508888,0.2168646635682373,0.17563227733842382,0.17930954750047634,0.1774709124194501,5094,MOF_net-ukr_node1-N10_edge1-E8.cif,87.3968459664,9.919128426,870.2805181264999,98.7727203479,782.8836721601
1400,optimized_MOF_net-unl_node1-N10_edge1-E13,0.3773730466896118,0.40359264794909616,0.390482847319354,0.13069637778278625,0.2493020963822873,0.1899992370825368,3232,MOF_net-unl_node1-N10_edge1-E13.cif,81.07390753920001,11.6434523016,804.1559018383,115.4890786731,723.0819942991
1401,optimized_MOF_net-ukr_node1-N10_edge1-E0,0.11765369081922356,0.11984970656848068,0.11875169869385213,0.24412544278888465,0.2611568100777027,0.2526411264332937,585,MOF_net-ukr_node1-N10_edge1-E0.cif,82.2533130987,12.6370700517,710.0283288917999,109.0859126866,627.7750157930999
1402,optimized_MOF_net-why_node1-N28_edge1-E15,2.9450984134260154,3.0535052248968846,2.9993018191614507,0.5746232613446762,0.9569149800841892,0.7657691207144326,2975,MOF_net-why_node1-N28_edge1-E15.cif,84.6098004081,17.2248730879,682.2292602543,138.8883127965,597.6194598462
1403,optimized_MOF_net-nfb_node1-N29_edge1-E8,2.425834503068085,2.5258365030710643,2.4758355030695745,1.088778186967014,1.1177504992395688,1.1032643431032914,31,MOF_net-nfb_node1-N29_edge1-E8.cif,73.5068630177,16.2512353701,635.2688871007,140.4481674735,561.762024083
1404,optimized_MOF_net-uos_node1-N10_edge1-E3,2.975086875799184,3.3811545421327365,3.1781207089659604,0.7010501353926528,0.7774300555822528,0.7392400954874527,3787,MOF_net-uos_node1-N10_edge1-E3.cif,55.66116410000001,16.2598508582,507.5298098372,148.2606256533,451.8686457372
